epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.929,1.05207,0.8372,1.24381,0.98092,0.98039,0.99192,0.88015,0.49807,0.31807,0.84246,0.00332667,0.00332667,0.00332667
2,595.009,0.65375,0.43155,0.98549,0.76518,0.54118,0.60334,0.39911,1.40505,1.26912,1.42494,0.00659407,0.00659407,0.00659407
3,883.963,0.6973,0.45982,1.00526,0.55901,0.38662,0.41821,0.22701,2.18014,2.17952,2.15347,0.00979547,0.00979547,0.00979547
4,1171.99,0.68383,0.4607,1.00546,0.31746,0.26849,0.17893,0.07308,2.6978,2.66905,2.24438,0.009703,0.009703,0.009703
5,1460,0.63726,0.42433,0.98898,0.98238,0.9882,0.99223,0.9226,0.41186,0.31202,0.83294,0.009604,0.009604,0.009604
6,1748.23,0.58942,0.39305,0.97028,0.96805,0.95173,0.98096,0.87641,0.51351,0.35359,0.88991,0.009505,0.009505,0.009505
7,2036.27,0.56253,0.37651,0.95546,0.98724,0.98857,0.99311,0.93262,0.37335,0.27437,0.8148,0.009406,0.009406,0.009406
8,2324.41,0.54073,0.35563,0.9528,0.9827,0.98703,0.99275,0.93183,0.37968,0.26601,0.81714,0.009307,0.009307,0.009307
9,2612.25,0.52305,0.34482,0.94096,0.96977,0.94809,0.98024,0.87996,0.51683,0.33056,0.876,0.009208,0.009208,0.009208
10,2900.06,0.50455,0.33931,0.93264,0.96953,0.94918,0.98341,0.90143,0.46154,0.33061,0.8574,0.009109,0.009109,0.009109
11,3187.79,0.48495,0.32379,0.92531,0.9843,0.97895,0.9931,0.92841,0.38396,0.26328,0.82875,0.00901,0.00901,0.00901
12,3475.65,0.48047,0.31977,0.92595,0.9922,0.99263,0.99371,0.95677,0.32094,0.22538,0.79839,0.008911,0.008911,0.008911
13,3763.37,0.47045,0.3125,0.92236,0.99331,0.99312,0.99433,0.96325,0.30512,0.20938,0.79877,0.008812,0.008812,0.008812
14,4051.53,0.45785,0.30439,0.91482,0.99091,0.99303,0.99357,0.96244,0.29744,0.21033,0.79264,0.008713,0.008713,0.008713
15,4339.83,0.45364,0.30057,0.91444,0.99499,0.99349,0.99417,0.95653,0.31426,0.21083,0.7907,0.008614,0.008614,0.008614
16,4627.63,0.44449,0.29598,0.91104,0.80627,0.64414,0.74718,0.59612,0.93489,0.99172,1.17095,0.008515,0.008515,0.008515
17,4915.84,0.43302,0.29015,0.90433,0.99335,0.99554,0.99429,0.97071,0.26834,0.19273,0.78119,0.008416,0.008416,0.008416
18,5203.97,0.42812,0.285,0.90388,0.9919,0.99009,0.99423,0.96792,0.28618,0.20096,0.78527,0.008317,0.008317,0.008317
19,5492.65,0.42352,0.2814,0.90292,0.99342,0.99616,0.99412,0.97368,0.26618,0.18224,0.78028,0.008218,0.008218,0.008218
20,5780.8,0.41699,0.27808,0.90127,0.99085,0.99489,0.99371,0.97524,0.25095,0.18351,0.77541,0.008119,0.008119,0.008119
21,6068.85,0.40807,0.27263,0.8943,0.99396,0.99435,0.99424,0.97542,0.25337,0.17945,0.77726,0.00802,0.00802,0.00802
22,6356.97,0.40532,0.26952,0.89544,0.99237,0.9947,0.9943,0.97753,0.24803,0.17672,0.77763,0.007921,0.007921,0.007921
23,6645.07,0.40659,0.26871,0.89659,0.99323,0.9973,0.99382,0.97351,0.26098,0.17972,0.77707,0.007822,0.007822,0.007822
24,6933.3,0.39681,0.26541,0.89415,0.993,0.99359,0.99461,0.97318,0.26049,0.17824,0.78302,0.007723,0.007723,0.007723
25,7221.39,0.39208,0.25943,0.89207,0.9959,0.99638,0.99432,0.98037,0.22731,0.1612,0.77001,0.007624,0.007624,0.007624
26,7509.59,0.38923,0.25788,0.89201,0.99393,0.99712,0.99451,0.98037,0.22789,0.16087,0.77329,0.007525,0.007525,0.007525
27,7797.81,0.38078,0.25338,0.88979,0.99517,0.99658,0.99456,0.97699,0.24284,0.16788,0.7764,0.007426,0.007426,0.007426
