epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.143,1.87774,1.23052,1.54978,0.78632,0.87214,0.88303,0.50775,1.61137,0.91329,0.83079,0.00332667,0.00332667,0.00332667
2,620.976,1.21718,0.82443,1.06426,0.84178,0.83843,0.88714,0.48313,1.76523,0.97168,0.69966,0.00659407,0.00659407,0.00659407
3,926.816,1.18323,0.80163,0.9887,0.71032,0.75567,0.77265,0.42353,1.81309,0.98466,0.72698,0.00979547,0.00979547,0.00979547
4,1231.62,1.06633,0.70952,0.95559,0.90578,0.8931,0.93282,0.61905,1.40906,0.7584,0.65103,0.009703,0.009703,0.009703
5,1536.5,0.93486,0.62301,0.9233,0.91087,0.90581,0.93723,0.65313,1.31349,0.69427,0.6944,0.009604,0.009604,0.009604
6,1840.92,0.86322,0.57819,0.91143,0.88607,0.83207,0.91189,0.60434,1.37601,0.70999,0.68549,0.009505,0.009505,0.009505
7,2145.45,0.80497,0.53884,0.89912,0.94217,0.92638,0.96363,0.72688,1.10378,0.56011,0.66128,0.009406,0.009406,0.009406
8,2450.04,0.76671,0.51472,0.8883,0.95433,0.93195,0.96122,0.73762,1.03389,0.52646,0.65883,0.009307,0.009307,0.009307
9,2754.37,0.72244,0.48501,0.88146,0.95184,0.9222,0.96305,0.71602,1.09723,0.5389,0.66134,0.009208,0.009208,0.009208
10,3058.84,0.70331,0.47425,0.87953,0.95132,0.92687,0.96515,0.75069,0.99505,0.51259,0.6598,0.009109,0.009109,0.009109
11,3363.23,0.68179,0.45934,0.87493,0.95878,0.93209,0.96685,0.75384,0.9758,0.46934,0.65517,0.00901,0.00901,0.00901
12,3667.43,0.65794,0.44596,0.87103,0.96511,0.94097,0.96892,0.78105,0.96786,0.45814,0.64903,0.008911,0.008911,0.008911
13,3971.69,0.64772,0.43776,0.87141,0.96975,0.94569,0.97287,0.75136,0.95302,0.46557,0.64884,0.008812,0.008812,0.008812
14,4276.05,0.62364,0.42425,0.86493,0.96585,0.9393,0.97369,0.80198,0.89489,0.42345,0.64271,0.008713,0.008713,0.008713
15,4580.85,0.61496,0.417,0.86371,0.95195,0.93039,0.96645,0.7803,0.88235,0.42059,0.64923,0.008614,0.008614,0.008614
16,4885.51,0.60303,0.40961,0.86305,0.97525,0.94241,0.97297,0.79939,0.89017,0.41676,0.64458,0.008515,0.008515,0.008515
17,5190.25,0.59433,0.40275,0.85742,0.9433,0.93337,0.96653,0.7963,0.90021,0.41064,0.64333,0.008416,0.008416,0.008416
18,5495.02,0.58714,0.39814,0.85773,0.9699,0.94014,0.97171,0.81283,0.86139,0.39795,0.6402,0.008317,0.008317,0.008317
19,5799.83,0.57651,0.39018,0.85817,0.97081,0.94176,0.97268,0.80784,0.86553,0.40466,0.64143,0.008218,0.008218,0.008218
20,6104.18,0.56492,0.3837,0.85493,0.97188,0.94527,0.97526,0.82292,0.83731,0.384,0.64375,0.008119,0.008119,0.008119
21,6408.68,0.55535,0.37837,0.85416,0.97201,0.94577,0.97591,0.81901,0.8468,0.38927,0.64154,0.00802,0.00802,0.00802
22,6713.1,0.55081,0.37548,0.85088,0.97413,0.94443,0.97423,0.81672,0.86239,0.38547,0.63782,0.007921,0.007921,0.007921
23,7017.68,0.54068,0.36851,0.84979,0.97773,0.94663,0.97437,0.82062,0.85983,0.38069,0.63635,0.007822,0.007822,0.007822
24,7322,0.53381,0.36566,0.84919,0.97737,0.94566,0.97749,0.82608,0.83255,0.38304,0.63331,0.007723,0.007723,0.007723
25,7626.69,0.53347,0.36238,0.84832,0.97927,0.9498,0.9763,0.83028,0.82491,0.37089,0.63638,0.007624,0.007624,0.007624
26,7931.08,0.52591,0.35679,0.84558,0.97908,0.94862,0.97702,0.82336,0.83396,0.37831,0.63753,0.007525,0.007525,0.007525
27,8235.53,0.52388,0.35676,0.84958,0.98021,0.94696,0.97848,0.82951,0.8461,0.37807,0.63374,0.007426,0.007426,0.007426
28,8539.98,0.51786,0.35192,0.84596,0.97696,0.94484,0.97854,0.82101,0.85873,0.383,0.63391,0.007327,0.007327,0.007327
29,8844.66,0.51035,0.34958,0.84334,0.97493,0.95064,0.97709,0.833,0.82263,0.37017,0.63431,0.007228,0.007228,0.007228
30,9149.44,0.50465,0.34349,0.84549,0.97553,0.94304,0.97626,0.8382,0.81384,0.35944,0.6346,0.007129,0.007129,0.007129
31,9454.52,0.50118,0.34321,0.84325,0.97788,0.94702,0.97882,0.8452,0.79116,0.35418,0.63286,0.00703,0.00703,0.00703
32,9759.3,0.49821,0.341,0.84067,0.98153,0.95258,0.9788,0.83599,0.81957,0.36327,0.63454,0.006931,0.006931,0.006931
33,10064.2,0.4933,0.33624,0.84111,0.9825,0.95235,0.97836,0.83877,0.82683,0.35952,0.63072,0.006832,0.006832,0.006832
34,10369,0.48995,0.33296,0.83869,0.97811,0.95486,0.98007,0.83834,0.8196,0.36069,0.63215,0.006733,0.006733,0.006733
35,10673.8,0.48462,0.33131,0.84037,0.98063,0.94848,0.97862,0.84812,0.78922,0.34241,0.63051,0.006634,0.006634,0.006634
36,10978.8,0.48015,0.32708,0.83971,0.97853,0.94889,0.97818,0.83961,0.81273,0.35585,0.632,0.006535,0.006535,0.006535
37,11283.7,0.47693,0.32699,0.83803,0.97158,0.94928,0.97708,0.84405,0.80773,0.35337,0.629,0.006436,0.006436,0.006436
38,11589,0.47475,0.32448,0.842,0.97758,0.94412,0.97923,0.84389,0.80368,0.35062,0.63107,0.006337,0.006337,0.006337
39,11893.7,0.47076,0.32189,0.83732,0.98343,0.95384,0.98045,0.84688,0.79244,0.34647,0.62935,0.006238,0.006238,0.006238
