epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.222,1.22865,1.21502,0.93836,1.26606,0.78798,0.85134,0.85688,0.48761,0.78781,0.85116,0.85589,0.49952,1.37713,0.71263,1.45318,1.63221,0.000664,0.000664,0.000664
2,435.859,1.03523,0.78378,0.71943,1.1522,0.75521,0.86762,0.87794,0.66388,0.74904,0.86615,0.87289,0.60021,0.9784,0.66564,0.9791,1.22405,0.00131749,0.00131749,0.00131749
3,647.044,0.95236,0.72549,0.64534,1.10542,0.91706,0.94387,0.96676,0.7186,0.91543,0.94076,0.96254,0.67149,0.88297,0.66472,0.65407,1.1775,0.00195779,0.00195779,0.00195779
4,858.205,0.8645,0.69432,0.57489,1.06362,0.86686,0.89175,0.92419,0.61137,0.86705,0.89084,0.92252,0.59089,1.16292,0.63424,0.76565,1.45243,0.0019406,0.0019406,0.0019406
5,1068.43,0.80587,0.65295,0.53797,1.04181,0.82455,0.71238,0.78654,0.55175,0.82286,0.71092,0.78526,0.52178,1.20134,0.73075,0.92131,1.34477,0.0019208,0.0019208,0.0019208
6,1278.47,0.76459,0.62176,0.50471,1.02182,0.11861,0.04004,0.02635,0.01296,0.11719,0.04004,0.02679,0.01231,3.98044,1.46927,4.6022,4.24629,0.001901,0.001901,0.001901
7,1488.31,0.71616,0.59287,0.4636,0.99638,0.95969,0.95209,0.98191,0.84671,0.96068,0.9499,0.98059,0.81365,0.59558,0.51945,0.4179,0.93411,0.0018812,0.0018812,0.0018812
8,1697.97,0.69347,0.58328,0.44411,0.9879,0.68092,0.56034,0.63023,0.40063,0.67737,0.55741,0.62706,0.38444,1.43261,0.75912,1.36877,1.47113,0.0018614,0.0018614,0.0018614
9,1907.77,0.67447,0.57738,0.43556,0.98092,0.56974,0.13403,0.15742,0.08633,0.56475,0.13348,0.15799,0.08188,3.12326,1.12841,3.12875,3.25216,0.0018416,0.0018416,0.0018416
10,2117.48,0.65861,0.5614,0.42878,0.97651,0.97586,0.9832,0.98984,0.89064,0.97597,0.98318,0.98968,0.83206,0.48097,0.44948,0.34138,0.89105,0.0018218,0.0018218,0.0018218
11,2326.15,0.64114,0.54662,0.41627,0.9688,0.07929,0.03712,0.02554,0.01214,0.07929,0.03712,0.02601,0.01114,3.72556,1.12481,5.34314,4.19061,0.001802,0.001802,0.001802
12,2535.62,0.63438,0.55256,0.40818,0.96624,0.7509,0.59583,0.69294,0.48241,0.74539,0.59313,0.68675,0.44978,1.29794,0.71003,1.16859,1.42949,0.0017822,0.0017822,0.0017822
13,2745.95,0.619,0.54704,0.39395,0.95023,0.98168,0.97994,0.99286,0.90139,0.97985,0.97811,0.99242,0.8177,0.4692,0.46786,0.3154,0.8701,0.0017624,0.0017624,0.0017624
14,2956.23,0.59733,0.53106,0.38858,0.94725,0.9882,0.98014,0.99328,0.92451,0.98555,0.9808,0.99322,0.84876,0.41589,0.43228,0.28559,0.84012,0.0017426,0.0017426,0.0017426
15,3165.86,0.58788,0.51383,0.38108,0.94572,0.92536,0.89774,0.9457,0.78281,0.92326,0.89614,0.94403,0.72848,0.70733,0.55922,0.47661,0.97691,0.0017228,0.0017228,0.0017228
16,3375.52,0.5808,0.50598,0.37391,0.93888,0.9789,0.98281,0.99213,0.91718,0.97781,0.98172,0.99192,0.8347,0.44145,0.42209,0.30158,0.845,0.001703,0.001703,0.001703
17,3584.78,0.57462,0.48856,0.37156,0.93761,0.97428,0.96983,0.99134,0.9075,0.97355,0.9691,0.99096,0.82975,0.46704,0.43721,0.31929,0.86184,0.0016832,0.0016832,0.0016832
18,3794.27,0.56153,0.50373,0.36024,0.92981,0.81791,0.64893,0.7566,0.57867,0.81525,0.6418,0.74999,0.54402,1.12331,0.64941,1.01028,1.32005,0.0016634,0.0016634,0.0016634
19,4004.03,0.56321,0.51103,0.35972,0.92893,0.98383,0.99027,0.99267,0.93658,0.98347,0.99013,0.99263,0.86664,0.36701,0.38993,0.25912,0.83184,0.0016436,0.0016436,0.0016436
20,4212.63,0.55028,0.49068,0.35126,0.92916,0.05612,0.13074,0.04248,0.01625,0.05706,0.13293,0.0433,0.01582,3.62454,1.09554,4.58541,3.68854,0.0016238,0.0016238,0.0016238
21,4421.87,0.54504,0.4907,0.35109,0.92589,0.98568,0.98202,0.99296,0.92608,0.98325,0.983,0.99289,0.85561,0.41119,0.4061,0.27995,0.85266,0.001604,0.001604,0.001604
22,4631.44,0.53888,0.48345,0.3429,0.92602,0.98022,0.98117,0.99285,0.92268,0.98215,0.97678,0.99258,0.84501,0.41315,0.41499,0.26555,0.84591,0.0015842,0.0015842,0.0015842
23,4840.15,0.52385,0.47041,0.33773,0.92042,0.98487,0.9879,0.99346,0.94369,0.98378,0.98688,0.99319,0.86312,0.35581,0.41342,0.24366,0.82846,0.0015644,0.0015644,0.0015644
24,5048.95,0.52549,0.48024,0.33928,0.91967,0.87831,0.80289,0.88836,0.6836,0.88336,0.79832,0.88683,0.64551,0.83249,0.54791,0.67206,1.07282,0.0015446,0.0015446,0.0015446
25,5257.78,0.52681,0.46925,0.34118,0.92159,0.98452,0.98822,0.9925,0.94432,0.98545,0.98683,0.99249,0.86148,0.35556,0.38352,0.24811,0.82461,0.0015248,0.0015248,0.0015248
26,5466.76,0.51966,0.46961,0.3344,0.92012,0.99095,0.98976,0.99316,0.94459,0.99065,0.98793,0.99272,0.86857,0.34841,0.38079,0.23615,0.8171,0.001505,0.001505,0.001505
27,5677.21,0.50553,0.4609,0.3299,0.90899,0.98854,0.99324,0.99371,0.95436,0.98898,0.99159,0.99343,0.8741,0.33001,0.36828,0.22222,0.81216,0.0014852,0.0014852,0.0014852
28,5886.45,0.50162,0.45237,0.32437,0.91228,0.83216,0.70086,0.7955,0.5969,0.82934,0.69848,0.79268,0.55444,1.06844,0.58855,0.84389,1.26288,0.0014654,0.0014654,0.0014654
