epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.593,1.88498,2.62004,1.17064,1.545,0.47581,0.58001,0.43216,0.23195,0.41693,0.51695,0.34026,0.13256,1.87082,1.87728,1.55289,1.44294,0.000664,0.000664,0.000664
2,478.826,1.27571,1.96687,0.84574,1.17801,0.75776,0.66496,0.73077,0.44094,0.68959,0.59241,0.59454,0.24387,1.56208,1.58862,1.25559,1.50551,0.00131749,0.00131749,0.00131749
3,709.046,1.15438,1.83667,0.78203,1.0682,0.83283,0.74348,0.84442,0.55963,0.77574,0.69489,0.73606,0.32981,1.3631,1.47329,0.83524,0.97941,0.00195779,0.00195779,0.00195779
4,938.771,1.07913,1.73903,0.72886,1.0214,0.86668,0.46759,0.58887,0.37505,0.81645,0.43812,0.52093,0.23863,1.6889,2.04559,1.89349,1.2701,0.0019406,0.0019406,0.0019406
5,1168.55,0.98398,1.66988,0.66743,0.98864,0.86434,0.83185,0.88698,0.61404,0.76505,0.73089,0.69688,0.31308,1.26225,1.50788,0.76592,0.85719,0.0019208,0.0019208,0.0019208
6,1400.6,0.93442,1.5977,0.6345,0.96531,0.79281,0.79154,0.84267,0.58005,0.71352,0.70715,0.6855,0.30194,1.25684,1.49979,0.86503,1.01391,0.001901,0.001901,0.001901
7,1631.77,0.91143,1.56468,0.61324,0.95818,0.8851,0.8699,0.93689,0.7248,0.84498,0.7985,0.81637,0.40824,0.98489,1.14871,0.63022,0.8319,0.0018812,0.0018812,0.0018812
8,1871.46,0.88754,1.547,0.59566,0.93569,0.91576,0.90602,0.95756,0.7372,0.85498,0.79995,0.81111,0.39387,0.96573,1.11275,0.6074,0.83848,0.0018614,0.0018614,0.0018614
9,2106.01,0.85271,1.53484,0.56804,0.93483,0.90106,0.89332,0.94851,0.68264,0.85852,0.81794,0.84427,0.44007,1.08933,1.18521,0.6425,0.9396,0.0018416,0.0018416,0.0018416
10,2345.4,0.82634,1.4901,0.56273,0.93021,0.93178,0.89579,0.95415,0.68246,0.88127,0.82361,0.8647,0.46166,1.09946,1.21526,0.61073,0.87876,0.0018218,0.0018218,0.0018218
11,2583.07,0.82033,1.49606,0.55096,0.92745,0.88309,0.87993,0.94213,0.67764,0.82338,0.79985,0.83111,0.43642,1.11774,1.35786,0.64398,0.8844,0.001802,0.001802,0.001802
12,2820.98,0.80167,1.47815,0.53381,0.91426,0.93383,0.93472,0.97019,0.77816,0.88142,0.84704,0.8724,0.46601,0.87008,1.10592,0.51224,0.79666,0.0017822,0.0017822,0.0017822
13,3056.94,0.76239,1.44626,0.51166,0.90102,0.92979,0.93939,0.97015,0.7603,0.84693,0.84564,0.83983,0.42308,0.90928,1.13878,0.52375,0.80596,0.0017624,0.0017624,0.0017624
14,3285.23,0.76599,1.45301,0.51691,0.90341,0.92137,0.91109,0.95783,0.73209,0.87189,0.82816,0.85393,0.45472,1.01288,1.24305,0.57167,0.9279,0.0017426,0.0017426,0.0017426
15,3525.15,0.7433,1.42464,0.49841,0.89745,0.90493,0.91781,0.9582,0.71581,0.83984,0.83676,0.83971,0.42687,1.01672,1.25028,0.60134,0.94826,0.0017228,0.0017228,0.0017228
16,3752.76,0.74266,1.40596,0.50587,0.89399,0.92763,0.93194,0.96799,0.72036,0.86123,0.85299,0.86215,0.47103,0.99306,1.2483,0.5651,0.7927,0.001703,0.001703,0.001703
17,3984.16,0.72856,1.38468,0.48502,0.89114,0.94734,0.90594,0.96188,0.72772,0.89421,0.84479,0.88423,0.5173,1.02848,1.34252,0.55399,0.776,0.0016832,0.0016832,0.0016832
18,4218.48,0.71398,1.38671,0.47891,0.89723,0.77709,0.59103,0.71234,0.45091,0.73267,0.54848,0.63833,0.29757,1.57786,1.52571,1.05475,1.28438,0.0016634,0.0016634,0.0016634
19,4446.25,0.71203,1.39547,0.47598,0.88854,0.92512,0.93342,0.96355,0.76301,0.86044,0.84954,0.86116,0.45151,0.93862,1.1738,0.53288,0.84611,0.0016436,0.0016436,0.0016436
20,4677.85,0.72748,1.38011,0.48842,0.89445,0.93709,0.95978,0.97685,0.80342,0.89718,0.8409,0.87745,0.4756,0.80892,1.05133,0.46674,0.7604,0.0016238,0.0016238,0.0016238
21,4913,0.70217,1.38549,0.47258,0.88673,0.94577,0.94658,0.97648,0.74232,0.87872,0.86324,0.86267,0.48318,0.99889,1.16342,0.52043,0.80153,0.001604,0.001604,0.001604
22,5142.26,0.6915,1.34452,0.46092,0.88694,0.94062,0.95039,0.97684,0.76078,0.89655,0.86747,0.89869,0.52495,0.96827,1.14864,0.51037,0.7905,0.0015842,0.0015842,0.0015842
23,5374.72,0.66568,1.3107,0.44875,0.87868,0.91988,0.92518,0.96205,0.71987,0.85748,0.8572,0.86452,0.48998,1.0195,1.22772,0.55845,0.80551,0.0015644,0.0015644,0.0015644
24,5605.15,0.67214,1.33469,0.45437,0.87889,0.94944,0.94842,0.98104,0.79885,0.88713,0.8589,0.88192,0.4827,0.81914,1.01736,0.47449,0.76927,0.0015446,0.0015446,0.0015446
25,5836.5,0.67062,1.31745,0.44486,0.87521,0.94554,0.96338,0.98257,0.81584,0.87996,0.84381,0.85575,0.46566,0.77119,1.008,0.45626,0.75801,0.0015248,0.0015248,0.0015248
26,6069.16,0.64901,1.28673,0.42804,0.86751,0.93377,0.94674,0.97532,0.79221,0.87516,0.85383,0.87414,0.48957,0.87135,1.07572,0.48864,0.77314,0.001505,0.001505,0.001505
27,6299.07,0.66402,1.33105,0.44684,0.87667,0.93914,0.94176,0.972,0.76643,0.88183,0.86181,0.87929,0.49167,0.88239,1.12572,0.49982,0.79029,0.0014852,0.0014852,0.0014852
28,6527.68,0.65739,1.32301,0.44354,0.87517,0.93127,0.92179,0.9701,0.7307,0.86415,0.83929,0.86326,0.4473,1.01279,1.16209,0.54962,1.13252,0.0014654,0.0014654,0.0014654
29,6758.43,0.64707,1.29805,0.42568,0.86886,0.95533,0.95246,0.98195,0.81345,0.89293,0.84503,0.86824,0.47115,0.7903,1.05895,0.44181,0.74683,0.0014456,0.0014456,0.0014456
30,6986.44,0.64701,1.32008,0.43073,0.86564,0.94733,0.94431,0.98013,0.79734,0.91281,0.83983,0.88767,0.51138,0.84597,1.0879,0.46797,0.75959,0.0014258,0.0014258,0.0014258
31,7213.08,0.65561,1.27998,0.43622,0.87307,0.9455,0.94665,0.97796,0.78477,0.88419,0.85946,0.87146,0.49217,0.8495,1.06662,0.48132,0.7674,0.001406,0.001406,0.001406
32,7441.91,0.64608,1.32894,0.43324,0.86699,0.92583,0.896,0.96006,0.70289,0.86635,0.83245,0.86799,0.47234,1.11084,1.2063,0.59265,0.94336,0.0013862,0.0013862,0.0013862
33,7677.6,0.63563,1.30117,0.41636,0.86634,0.95035,0.96373,0.98479,0.79449,0.9159,0.85842,0.89285,0.53828,0.82776,1.01384,0.43146,0.74479,0.0013664,0.0013664,0.0013664
34,7910.96,0.6351,1.27209,0.41828,0.86136,0.9611,0.95638,0.98426,0.81607,0.90234,0.85279,0.88257,0.50033,0.7805,1.0129,0.44443,0.75587,0.0013466,0.0013466,0.0013466
35,8146.12,0.63492,1.31267,0.42103,0.86219,0.95384,0.95408,0.98245,0.8125,0.90928,0.86286,0.8984,0.51327,0.80691,1.04605,0.43881,0.74917,0.0013268,0.0013268,0.0013268
36,8382.61,0.63227,1.30204,0.41689,0.86199,0.94832,0.9662,0.98552,0.81719,0.91962,0.8598,0.89949,0.52465,0.78876,1.01287,0.42895,0.73754,0.001307,0.001307,0.001307
37,8624.15,0.61175,1.29251,0.40748,0.85912,0.93987,0.95931,0.97572,0.79713,0.89657,0.8598,0.87546,0.49059,0.82516,1.08703,0.47003,0.73523,0.0012872,0.0012872,0.0012872
38,8861.95,0.61586,1.28175,0.41416,0.86074,0.86121,0.87457,0.92436,0.6778,0.79256,0.80485,0.82403,0.43237,1.07048,1.2502,0.63517,0.92058,0.0012674,0.0012674,0.0012674
39,9101.97,0.61728,1.26979,0.41295,0.86007,0.94138,0.96151,0.98007,0.79146,0.9013,0.86164,0.88367,0.5103,0.82446,1.06845,0.44756,0.73629,0.0012476,0.0012476,0.0012476
40,9339.95,0.61189,1.26049,0.40983,0.86397,0.93894,0.95326,0.97673,0.7745,0.8911,0.85663,0.88093,0.50258,0.89789,1.08695,0.47726,0.81683,0.0012278,0.0012278,0.0012278
41,9577.34,0.60068,1.25895,0.40206,0.85901,0.95264,0.94628,0.98146,0.79823,0.88339,0.86347,0.87923,0.50056,0.82231,1.05248,0.46977,0.79043,0.001208,0.001208,0.001208
42,9810.48,0.59825,1.25857,0.40035,0.85573,0.78505,0.66006,0.77777,0.54661,0.72089,0.60463,0.68361,0.33626,1.28832,1.4232,0.98244,1.05291,0.0011882,0.0011882,0.0011882
43,10049.3,0.59754,1.27179,0.39935,0.86135,0.95293,0.96043,0.98125,0.81134,0.90154,0.8549,0.87953,0.50568,0.80652,1.11122,0.44275,0.73849,0.0011684,0.0011684,0.0011684
44,10288.1,0.5933,1.25112,0.39307,0.8556,0.95736,0.97071,0.98777,0.84308,0.9275,0.85291,0.89857,0.52136,0.70737,0.97009,0.39961,0.73137,0.0011486,0.0011486,0.0011486
45,10525.5,0.57287,1.22988,0.38249,0.8492,0.95102,0.96602,0.98504,0.81987,0.91467,0.85115,0.88794,0.52283,0.77139,0.9973,0.4173,0.72576,0.0011288,0.0011288,0.0011288
46,10763.7,0.57299,1.2359,0.38297,0.84772,0.9538,0.96288,0.98476,0.81729,0.92924,0.85429,0.89605,0.51421,0.78438,0.96285,0.42642,0.73996,0.001109,0.001109,0.001109
47,11002.3,0.56519,1.22174,0.37632,0.84565,0.95923,0.97054,0.9888,0.83743,0.9294,0.85513,0.89593,0.52395,0.73623,0.97963,0.39937,0.72899,0.0010892,0.0010892,0.0010892
48,11242.6,0.58059,1.249,0.38489,0.8531,0.9564,0.96012,0.98412,0.8209,0.89982,0.85577,0.88196,0.50112,0.76969,0.99781,0.43506,0.72985,0.0010694,0.0010694,0.0010694
49,11479.3,0.57716,1.23448,0.38346,0.85124,0.94839,0.95921,0.98338,0.8267,0.90614,0.84886,0.88597,0.51248,0.74764,0.98648,0.41176,0.72812,0.0010496,0.0010496,0.0010496
50,11717.1,0.56785,1.22581,0.379,0.84799,0.96229,0.9666,0.98797,0.82908,0.91453,0.86304,0.89613,0.52883,0.75454,0.99325,0.40375,0.72796,0.0010298,0.0010298,0.0010298
